Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada),
EV072-2023,2023,JORNADA DE EDUCACÃO INCLUSIVA,PALOMA ALINNE ALVES RODRIGUES,IFQ,01/09/2023,31/12/2023,SIM,,,
CR053-2023,2023,INSTALACÕES ELÉTRICAS,CREDSON DE SALLES,ISEE,23/10/2023,27/10/2023,SIM,,,
CR054-2023,2023,MARATONA CIBEREDUCACÃO CISCO BRASIL - 7ª ONDA (2023),OTAVIO DE SOUZA MARTINS GOMES,IESTI,04/09/2023,20/10/2023,SIM,,,
CR055-2023,2023,OFICINA DE TRABALHO: EMPREENDEDORISMO E SUSTENTABILIDADE NAS ASSOCIACÕES DE APICULTURA E MELIPONICULTURA,LUIZ EUGENIO VENEZIANI PASIN,IEPG,29/08/2023,29/08/2023,SIM,,,
CR056-2023,2023,GRUPO DE ESTUDOS EM ECONOMIA AGRÁRIA,VIVIANE GUIMARAES PEREIRA,IEPG,04/09/2023,15/12/2023,SIM,,,
PJ202-2023,2023,ABU - ALIANCA BÍBLICA UNIVERSITÁRIA,HISAIAS DE SOUZA ALMEIDA,IRN,22/08/2023,31/12/2023,NÃO,,,
PJ203-2023,2023,CLASSIFICACÃO AMBIENTAL DE TRILHAS ECOLÓGICAS COMO TECNOLOGIA SOCIAL PARA O DESENVOLVIMENTO DO ECOTURISMO NO SUL DE MINAS GERAIS,PAULO CEZAR NUNES JUNIOR,IFQ,01/08/2023,31/12/2023,NÃO,R$ 8.385,20,
PJ204-2023,2023,DIA DE PLANTIO - EMPREENDER,CARLOS EDUARDO CORREA MOLINA,IEM,31/08/2023,30/09/2023,SIM,,,
PJ205-2023,2023,PROJECÕES CLIMÁTICAS EM ALTA RESOLUCÃO PARA O ESTADO DE SÃO PAULO,MICHELLE SIMOES REBOITA,IRN,26/08/2023,30/12/2023,SIM,R$ 46.198,66,
PJ206-2023,2023,ANÁLISE QUANTITATIVA DA ALOCACÃO DE INVESTIMENTO E CUSTEIO ANUAL POR CONJUNTOS EM RELACÃO À CONTINUIDADE DO SERVICO,EDUARDO CRESTANA GUARDIA,ISEE,01/09/2023,30/11/2023,NÃO,R$ 44.520,0,
PJ207-2023,2023,EDUCACÃO FINANCEIRA PARA A POPULACÃO - DIFUSÃO DE CONHECIMENTO EM RÁDIO FM E MÍDIAS SOCIAIS,ANDRE LUIZ MEDEIROS,IEPG,01/02/2023,31/12/2023,NÃO,,,
EV073-2023,2023,TEDxUNIFEI,ANDREA APARECIDA DA COSTA MINEIRO,IEPG,01/09/2023,18/11/2023,SIM,,,
EV074-2023,2023,X SERE - SEMANA DE RECURSOS ENERGÉTICOS,LUCILENE DE OLIVEIRA RODRIGUES CHAVES,IEM,11/09/2023,29/09/2023,SIM,,,
CR057-2023,2023,ESTÉTICA DO PROJETO,ANA PAULA SILVA FIGUEIREDO,IRN,14/09/2023,27/09/2023,SIM,,,
EV075-2023,2023,V CIRCUITO DE ADMINISTRACÃO - A INTELIGÊNCIA ARTIFICIAL (IA) NA ADMINISTRACÃO,ISABEL CRISTINA DA SILVA ARANTES,IEPG,18/09/2023,19/09/2023,NÃO,,,
EV076-2023,2023,VII ENCONTRO DE ALUNOS E EX-ALUNOS DE ENGENHARIA AMBIENTAL - EAEX,RAFAEL SILVA CAPAZ,IRN,18/09/2023,20/11/2023,SIM,R$ 6.300,0,
EV077-2023,2023,WORKSHOP FUNDAMENTOS DE SEGURANCA CIBERNÉTICA,OTAVIO DE SOUZA MARTINS GOMES,IESTI,04/09/2023,29/09/2023,SIM,,,
PJ208-2023,2023,DISCIPLINA A SER MINISTRADA EM CURSO DE ESPECIALIZACÃO DO CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCACÃO (FAI) NO MÓDULO DE GESTÃO DE NEGÓCIOS (CONTINUACÃO),SANDRA MIRANDA NEVES,IEPG,11/09/2023,31/10/2023,SIM,R$ 1.610,0
PJ209-2023,2023,CURSO DE EXTENSÃO EM HIGIENE OCUPACIONAL DA ESCOLA ESTADUAL MESTRE ZECA AMANCIO (EEMZA),LEONARDO FERREIRA REIS,ICPA,11/09/2023,14/12/2023,SIM,,,
PJ210-2023,2023,DIA DE PLANTIO - DELFIM MOREIRA,CARLOS EDUARDO CORREA MOLINA,IEM,11/09/2023,30/09/2023,SIM,,,
EV078-2023,2023,SEMINÁRIO DE EDUCACÃO EMPREENDEDORA NO ENSINO MÉDIO,ELZO ALVES ARANHA,IEPG,14/09/2023,10/11/2023,SIM,,,
EV079-2023,2023,SAÚDE MENTAL EM CORES: O CUIDADO DENTRO DA COMUNIDADE LGBTQIA+ E O SETEMBRO AMARELO,JOAO RICARDO NEVES DA SILVA,IFQ,22/09/2023,22/09/2023,NÃO,,,
EV080-2023,2023,"APRESENTACÃO DO PROJETO ""COMPOSTEIRA COMUNITÁRIA"" NA SEMANA DA ÁRVORE DA PREFEITURA MUNICIPAL DE ITABIRA",GABRIELA DA FONSECA DE AMORIM,IEI,20/09/2023,21/09/2023,SIM,,,
EV081-2023,2023,ENCONTRO DESPORTIVO COMUNITÁRIO,RICARDO DE MELO DIAS,DSQ,23/09/2023,24/09/2023,SIM,,,
CR058-2023,2023,POLÍTICA ENERGÉTICA, GERACÃO E USO DE ENERGIA - Módulo I - T2,ROGERIO JOSE DA SILVA,IEM,02/10/2023,01/12/2023,SIM,,
