Número doprocesso - SIPAC/SIGAA,Ano do registro,Título da atividade,Nome do (a) Coordenador (a),Local de lotação do (a) Coordenador (a),Data de início da atividade,Data de termino da atividade,Relatório Final,Receita (Prevista),Receita (Realizada)
23088.007839/2017-16,2017,COLOQUIOS INTERDISCIPLINARES,EDUARDO HENRIQUE SILVA BITTENCOURT,IFQ,6/4/2017,17/11/2017,SIM," R$ 8.400,00 "," R$ 7.500,00 "
23088.007963/2017-73,2017,EMPREENDEDORISMO SOCIOAMBIENTAL E DESENVOLVIMENTO REGIONAL SUSTENTAVEL COM BASE NA PRODUCAO DE PRODUTOS ORGANICOS,LUIZ EUGENIO VENEZIANI PASIN,IEPG,1/3/2017,30/12/2017,SIM, R$ -   , R$ -   
23088.006994/2017-15,2017,ELETRONICA DE POTENCIA APLICADA A SISTEMAS ELETRICOS,ANGELO JOSE JUNQUEIRA RESEK,ISEE,24/10/2016,27/10/2016,SIM, R$ -   ," R$ 3.500,00 "
23088.008233/2017-90,2017,"EMPREENDEDORISMO, INOVACAO ABERTA, APRENDIZAGEM ATIVA E DESIGN THINKING NO RECONCAVO DA BAHIA",ELZO ALVES ARANHA,IEPG,31/5/2017,2/5/2017,SIM, R$ -   , R$ -   
23088.008288/2017-08,2017,OPERACAO DE TURBINAS HIDRAULICAS E REGULADORES DE VELOCIDADE,EDSON DA COSTA BORTONI,ISEE,1/8/2016,4/8/2016,NÃO, R$ -   , R$ -   
23088.009475/2017-09,2017,SISTEMA DE INFORMACAO GEOGRAFICA: PRATICAS E USO,ANA PAULA SILVA FIGUEIREDO,IRN,22/5/2017,2/6/2017,SIM, R$ -   , R$ -   
23088.020935/2016-61,2016,CURSO DE QUALIFICACAO EM SISTEMAS ELETRICOS - ESTABILIDADE E DINAMICA DE SISTEMAS ELETRICOS II,ZULMAR SOARES MACHADO JUNIOR ,ISEE,19/9/2016,23/9/2016,SIM, R$ -   ," R$ 2.450,00 "
23088.005050/2017-12,2017,CURSO DE CURTA DURACAO - QPSE - MODULO OCNFIABILIDADE DOS SISTEMAS ELETRICOS,JOAO GUILHERME DE CARVALHO  COSTA,ISEE,21/11/2016,25/11/2016,SIM, R$ -   ," R$ 5.600,00 "
23088.008285/2017-66,2017,REGULADORES DE VELOCIDADE,EDSON DA COSTA BORTONI,ISEE,2/5/2017,4/5/2017,NÃO," R$ 24.840,00 ",
23088.021680/2016-53,2016,ELETRONICA DE POTENCIA APLICADA A SISTEMAS ELETRICOS,ANGELO JOSE JUNQUEIRA RESEK,ISEE,24/10/2016,27/10/2016,SIM, R$ -   ," R$ 3.500,00 "
