Código,Data Início,Data Fim,TÍTULO DO PROJETO,Tipo,Órgão financiador, Coordenador/Coordenador Local,UA Coordenador,Situação
841,01/08/2019,01/07/2025,"Teoria de Singularidades e Aplicações à Geometria Diferencial, Equações Diferenciais e Visão Computacional","Projeto com financiamento externo, de outra instituição",FAPESP,Luis Fernando de Osório Mello,IMC,Vigente
PVDI33-2019,01/01/2019,09/08/2024,Estudo Teórico-Experimental em Transferência de Calor com Ênfase no Desenvolvimento de Técnicas de Problemas Inversos,Projeto com financiamento externo,FAPEMIG,Sandro Metrevelle Marcondes de Lima e Silva,IEM,Expirado
PVDI120-2020,01/11/2020,31/12/2025,Derivadores Rastreados por Satélite e Monitoramento Automático de Parâmetros Ambientais Aplicados ao Entendimento da Contribuição dos Afluentes para o Restabelecimento do Rio Doce,Projeto com financiamento externo,FAPEMIG,ARCILAN TREVENZOLI ASSIREU,IRN,Vigente
PIDI91-2018,01/03/2018,18/06/2025,Desenvolvimento de Próteses Híbridas para Membros Inferiores com Reforços 3D,Projeto com financiamento externo,FAPEMIG,ANTONIO CARLOS ANCELOTTI JUNIOR,IEM,Vigente
PIDI68-2017,01/11/2017,15/05/2025,Desenvolvimento e integração entre os processos síntese de metanol e MTO (methanol-to-olefins) em microescala usando fluidodinâmica computacional,Projeto com financiamento externo,FAPEMIG,Maximilian Joachim Hodapp,IRN,Vigente
PIDI112-2020,01/02/2020,31/12/2024,Monitoramento espectral para estimativa das condições hídricas de áreas cafeeiras,"Projeto com financiamento externo, de outra instituição",EMBRAPA,VANESSA CRISTINA OLIVEIRA DE SOUZA,IMC,Expirado
PVDI128-2021,01/03/2021,28/02/2025,"Teoria Qualitativa das Equações Diferenciais, Mecânica Celeste e Conjectura Jacobiana",Projeto com financiamento externo,CNPq,Luis Fernando de Osório Mello,IMC,Vigente
PVDI145-2021,01/08/2021,31/07/2024,Espaços-tempos com Simetria Espacial Intrínseca II,Projeto sem financiamento externo,Não possui,Leandro Gustavo Gomes,IMC,Expirado
PVDI180-2021,01/08/2021,31/07/2024,Configurações Centrais do Problema de N Corpos Simétricas por Reflexão,Projeto sem financiamento externo,Não possui,LUCAS RUIZ DOS SANTOS,IMC,Expirado
PVDI179-2021,01/08/2021,31/07/2024,ESTUDO DE MÉTODOS DE EXTRAÇÃO/RECUPERAÇÃO DE ENERGIA DE SISTEMA FOTOVOLTAICO SOMBREADO OU EM DESEQUILÍBRIO,Projeto sem financiamento externo,Não possui,ENIO ROBERTO RIBEIRO,IESTI,Expirado
PIDI147-2021,01/08/2021,31/07/2024,Produção de estudos de caso em História da Ciência para o Ensino de Química,Projeto sem financiamento externo,Não possui,EVANDRO FORTES ROZENTALSKI,IFQ,Expirado
PVDI173-2021,01/08/2021,31/07/2024,Análise da eficiência da valorização de biomassa de resíduos agroindustriais para bioenergia utilizando secador de leito fluidizado,Projeto sem financiamento externo,Não possui,HUGO PERAZZINI,IRN,Expirado
PVDI174-2021,01/08/2021,31/07/2024,UTILIZAÇÃO DE ENERGIA SOLAR PARA O TRATAMENTO E APROVEITAMENTO DE RESÍDUOS AGROINDUSTRIAIS COMO BIOMASSA PARA BIONERGIA,Projeto sem financiamento externo,Não possui,Maisa Tonon Bitti Perazzini,IRN,Expirado
PIDI188-2021,01/08/2021,31/07/2024,Estudo da abordagem multiescala para o mapeamento de mudanças no uso e cobertura do solo e associações com o depleciamento de recursos naturais,Projeto sem financiamento externo,Não possui,Samara Calçado de Azevedo,IRN,Expirado
